time,id,group1,group2,name,runtime,lang,num_atts,sub_atts,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-11T08:47:08.341,e872c79b-e68a-11e9-9ce9-00505601122b,Data Structures I,,Red-black trees,cxx-gcc-linux,en,0,0,0,7,0,7,0,0,0,0,0,
2023-11-11T08:47:12.140,86450a4d-95af-11ec-986f-f39926f24a9c,Non-Procedural Programming,,Run-lenght encoding,prolog,en,0,0,0.5,4,2,0,1,1,0,0,0,
2023-11-11T08:47:17.095,6c0a2776-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,0,11,0,0,0,11,0,0,0,
2023-11-11T08:47:23.626,254496bf-93e4-11ec-986f-f39926f24a9c,Programming I and II,,Multiplication of large numbers,cs-dotnet-core,en,0,0,0.12,8,1,0,0,7,0,0,0,
2023-11-11T08:47:27.891,2fe122ad-f02f-11e9-9ce9-00505601122b,Introduction to Algorithms,,Prime factorization II,python3,en,0,0,0,14,0,0,0,14,0,0,0,
2023-11-11T08:47:32.575,e5f69567-a813-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.7,7,5,0,0,2,0,0,0,
2023-11-11T08:47:37.721,9e9b946e-2c31-11ec-986f-f39926f24a9c,Programming I and II,,"Perfect number, square and cube",python3,en,0,0,0.45,7,3,0,0,4,0,0,0,
2023-11-11T08:47:42.949,1601b407-c884-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,0.5,4,2,0,0,2,0,0,0,
2023-11-11T08:47:47.495,efa010e8-a811-11e7-a937-00505601122b,Programming I and II,,Find a permutation,cs-dotnet-core,en,0,0,0.15,8,1,0,4,3,0,0,0,
2023-11-11T08:47:55.530,06a200d4-7d48-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),cxx-gcc-linux,al,0,0,0.4,10,6,0,0,0,0,4,0,
2023-11-11T08:48:00.134,2d2eaa54-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0.4,10,4,0,0,6,0,0,0,
2023-11-11T08:48:04.101,02c10843-2238-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0.8,10,8,0,0,2,0,0,0,
2023-11-11T08:48:11.290,99581db8-343f-11ec-986f-f39926f24a9c,Programming I and II,,Minimum and maximum sums,python3,en,0,0,0,3,0,0,1,1,0,1,0,
2023-11-11T08:48:17.296,47e52b91-a88d-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,10,0,0,10,0,0,0,0,
2023-11-11T08:48:21.205,9cf80424-0cf5-11eb-98c0-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,1,4,0,0,0,
